dataset,type,size,gamma,throughput
random,OVS,,,9962893536
random,Heap,10000,,9952088224
random,Skiplist,10000,,9949916624
random,QMax,10000,0.01,9440798176
random,QMax,10000,0.05,9933870280
random,QMax,10000,0.1,9961687408
random,QMax,10000,0.25,9956472008
random,QMax,10000,0.5,9958488392
random,QMax,10000,1,9958296152
random,Heap,100000,,9748540952
random,Skiplist,100000,,9710064472
random,QMax,100000,0.01,5134691952
random,QMax,100000,0.05,9501858584
random,QMax,100000,0.1,9793096488
random,QMax,100000,0.25,9875223552
random,QMax,100000,0.5,9895755496
random,QMax,100000,1,9911249328
random,Heap,1000000,,7356990624
random,Skiplist,1000000,,3972262240
random,QMax,1000000,0.01,467127536
random,QMax,1000000,0.05,7489023192
random,QMax,1000000,0.1,8544507656
random,QMax,1000000,0.25,9304660928
random,QMax,1000000,0.5,9513375184
random,QMax,1000000,1,9586580888
random,Heap,10000000,,855161128
random,Skiplist,10000000,,203060976
random,QMax,10000000,0.01,326344488
random,QMax,10000000,0.05,3929672536
random,QMax,10000000,0.1,5175790016
random,QMax,10000000,0.25,7544614016
random,QMax,10000000,0.5,8014939856
random,QMax,10000000,1,8504417072
