dataset,type,size,gamma,throughput
random,OVS,,,39172223168
random,Heap,10000,,39146183744
random,SkipList,10000,,39152308480
random,QMax,10000,0.01,38508313472
random,QMax,10000,0.05,39162911232
random,QMax,10000,0.1,39169774336
random,QMax,10000,0.25,39170608320
random,QMax,10000,0.5,39172446272
random,QMax,10000,1,39168696000
random,QMax,10000,2,39172191296
random,Heap,100000,,38897167808
random,SkipList,100000,,38649400192
random,QMax,100000,0.01,28127140928
random,QMax,100000,0.05,38823830336
random,QMax,100000,0.1,39054248960
random,QMax,100000,0.25,39137822656
random,QMax,100000,0.5,39137663296
random,QMax,100000,1,39135426944
random,QMax,100000,2,39139001920
random,Heap,1000000,,33348268544
random,SkipList,1000000,,23211740160
random,QMax,1000000,0.01,6628361408
random,QMax,1000000,0.05,34185769088
random,QMax,1000000,0.1,36552865344
random,QMax,1000000,0.25,38057266240
random,QMax,1000000,0.5,38275987840
random,QMax,1000000,1,38135745728
random,QMax,1000000,2,38477827904
random,Heap,10000000,,7410951808
random,SkipList,10000000,,1375430848
random,QMax,10000000,0.01,2282566400
random,QMax,10000000,0.05,20969900864
random,QMax,10000000,0.1,26632583168
random,QMax,10000000,0.25,33148834816
random,QMax,10000000,0.5,35073515840
random,QMax,10000000,1,36136686080
random,QMax,10000000,2,35013846144
