dataset,type,size,gamma,throughput
univ1,Heap,10000000,,503212320
univ1,Heap,10000000,,497265912
univ1,Heap,10000000,,505257480
univ1,Heap,10000000,,508117896
univ1,Heap,10000000,,505281816
univ1,Heap,10000000,,496123056
univ1,Heap,10000000,,504632232
univ1,Heap,10000000,,507045240
univ1,Heap,10000000,,501482592
univ1,Heap,10000000,,501125040
univ1,Heap,1000000,,6879000024
univ1,Heap,1000000,,6847658064
univ1,Heap,1000000,,6886392552
univ1,Heap,1000000,,6838870896
univ1,Heap,1000000,,6755480784
univ1,Heap,1000000,,6850137528
univ1,Heap,1000000,,6829394832
univ1,Heap,1000000,,6777264312
univ1,Heap,1000000,,6851406744
univ1,Heap,1000000,,6789853512
univ1,OVS,1000000,,9788205960
univ1,OVS,1000000,,9777114360
univ1,OVS,1000000,,9688276728
univ1,OVS,1000000,,9803379456
univ1,OVS,1000000,,9731504952
univ1,OVS,1000000,,9787440312
univ1,OVS,1000000,,9667572408
univ1,OVS,1000000,,9820978128
univ1,OVS,1000000,,9652505616
univ1,OVS,1000000,,9751565304
univ1,OVS,10000000,,9788205960
univ1,OVS,10000000,,9777114360
univ1,OVS,10000000,,9688276728
univ1,OVS,10000000,,9803379456
univ1,OVS,10000000,,9731504952
univ1,OVS,10000000,,9787440312
univ1,OVS,10000000,,9667572408
univ1,OVS,10000000,,9820978128
univ1,OVS,10000000,,9652505616
univ1,OVS,10000000,,9751565304
univ1,QMax,10000000,0.05,9890410608
univ1,QMax,10000000,0.05,9632151360
univ1,QMax,10000000,0.05,9672631488
univ1,QMax,10000000,0.05,9928264320
univ1,QMax,10000000,0.05,9793810728
univ1,QMax,10000000,0.05,9996210432
univ1,QMax,10000000,0.05,9825582312
univ1,QMax,10000000,0.05,9829351584
univ1,QMax,10000000,0.05,9844749720
univ1,QMax,10000000,0.05,9678948552
univ1,QMax,1000000,0.05,10074606984
univ1,QMax,1000000,0.05,9831475368
univ1,QMax,1000000,0.05,9845884152
univ1,QMax,1000000,0.05,10059932376
univ1,QMax,1000000,0.05,10076142960
univ1,QMax,1000000,0.05,9876760920
univ1,QMax,1000000,0.05,9948884400
univ1,QMax,1000000,0.05,9992834280
univ1,QMax,1000000,0.05,10128352104
univ1,QMax,1000000,0.05,9930723192
univ1,QMax,10000000,0.1,8998221024
univ1,QMax,10000000,0.1,9811336392
univ1,QMax,10000000,0.1,9431890416
univ1,QMax,10000000,0.1,9707192352
univ1,QMax,10000000,0.1,9474480288
univ1,QMax,10000000,0.1,9372614472
univ1,QMax,10000000,0.1,9724674024
univ1,QMax,10000000,0.1,9740817216
univ1,QMax,10000000,0.1,9518347800
univ1,QMax,10000000,0.1,8481311280
univ1,QMax,1000000,0.1,9984579696
univ1,QMax,1000000,0.1,10141549704
univ1,QMax,1000000,0.1,9887191704
univ1,QMax,1000000,0.1,10081980792
univ1,QMax,1000000,0.1,10184568264
univ1,QMax,1000000,0.1,9976965336
univ1,QMax,1000000,0.1,9757480824
univ1,QMax,1000000,0.1,10064628288
univ1,QMax,1000000,0.1,10142053272
univ1,QMax,1000000,0.1,10010606112
univ1,QMax,10000000,0.25,9564384960
univ1,QMax,10000000,0.25,9410747112
univ1,QMax,10000000,0.25,9844610256
univ1,QMax,10000000,0.25,8560085040
univ1,QMax,10000000,0.25,8894762136
univ1,QMax,10000000,0.25,8369296416
univ1,QMax,10000000,0.25,8448235848
univ1,QMax,10000000,0.25,9573830136
univ1,QMax,10000000,0.25,9359060256
univ1,QMax,10000000,0.25,9641719152
univ1,QMax,1000000,0.25,10097951760
univ1,QMax,1000000,0.25,9966987576
univ1,QMax,1000000,0.25,9992187504
univ1,QMax,1000000,0.25,9974544840
univ1,QMax,1000000,0.25,9992157552
univ1,QMax,1000000,0.25,10191942072
univ1,QMax,1000000,0.25,10082592000
univ1,QMax,1000000,0.25,9922178448
univ1,QMax,1000000,0.25,10124118576
univ1,QMax,1000000,0.25,10068844032
univ1,QMax,10000000,0.5,8913064680
univ1,QMax,10000000,0.5,9371242296
univ1,QMax,10000000,0.5,9739176408
univ1,QMax,10000000,0.5,9218751984
univ1,QMax,10000000,0.5,8836184448
univ1,QMax,10000000,0.5,9415908216
univ1,QMax,10000000,0.5,9595636128
univ1,QMax,10000000,0.5,9892140336
univ1,QMax,10000000,0.5,9539585640
univ1,QMax,10000000,0.5,9107051616
univ1,QMax,1000000,0.5,9822465432
univ1,QMax,1000000,0.5,10108434960
univ1,QMax,1000000,0.5,9939133152
univ1,QMax,1000000,0.5,10019119968
univ1,QMax,1000000,0.5,10029257784
univ1,QMax,1000000,0.5,10035854712
univ1,QMax,1000000,0.5,10035577656
univ1,QMax,1000000,0.5,10023807456
univ1,QMax,1000000,0.5,9874543536
univ1,QMax,1000000,0.5,9774601200
univ1,Skiplist,10000000,,400094136
univ1,Skiplist,10000000,,416979576
univ1,Skiplist,10000000,,404803152
univ1,Skiplist,10000000,,436251816
univ1,Skiplist,10000000,,417494376
univ1,Skiplist,10000000,,405311400
univ1,Skiplist,10000000,,412423128
univ1,Skiplist,10000000,,430002144
univ1,Skiplist,10000000,,424168992
univ1,Skiplist,10000000,,409760208
univ1,Skiplist,1000000,,656487000
univ1,Skiplist,1000000,,537044040
univ1,Skiplist,1000000,,579354984
univ1,Skiplist,1000000,,621313056
univ1,Skiplist,1000000,,487067256
univ1,Skiplist,1000000,,596177712
univ1,Skiplist,1000000,,603636696
univ1,Skiplist,1000000,,573692184
univ1,Skiplist,1000000,,482090544
univ1,Skiplist,1000000,,579133152
