dataset,type,size,gamma,throughput
caida18,Heap,10000000,,4499523480
caida18,Heap,10000000,,4480015680
caida18,Heap,10000000,,4511162280
caida18,Heap,10000000,,4419201120
caida18,Heap,10000000,,4519938960
caida18,Heap,10000000,,4500555600
caida18,Heap,10000000,,4501858560
caida18,Heap,10000000,,4538648880
caida18,Heap,10000000,,4566838200
caida18,Heap,10000000,,4526461080
caida18,Heap,1000000,,38378789280
caida18,Heap,1000000,,38461937160
caida18,Heap,1000000,,38473444200
caida18,Heap,1000000,,38473612560
caida18,Heap,1000000,,38002892640
caida18,Heap,1000000,,38413976520
caida18,Heap,1000000,,38311760040
caida18,Heap,1000000,,38488194000
caida18,Heap,1000000,,38315478600
caida18,Heap,1000000,,38254371240
caida18,OVS,1000000,,39546160920
caida18,OVS,1000000,,39531352560
caida18,OVS,1000000,,39507577200
caida18,OVS,1000000,,39504188040
caida18,OVS,1000000,,39516170880
caida18,OVS,1000000,,39538958040
caida18,OVS,1000000,,39575806920
caida18,OVS,1000000,,39606938880
caida18,OVS,1000000,,39608468760
caida18,OVS,1000000,,39575301840
caida18,OVS,10000000,,39546160920
caida18,OVS,10000000,,39531352560
caida18,OVS,10000000,,39507577200
caida18,OVS,10000000,,39504188040
caida18,OVS,10000000,,39516170880
caida18,OVS,10000000,,39538958040
caida18,OVS,10000000,,39575806920
caida18,OVS,10000000,,39606938880
caida18,OVS,10000000,,39608468760
caida18,OVS,10000000,,39575301840
caida18,QMax,10000000,0.05,39579942720
caida18,QMax,10000000,0.05,39545721720
caida18,QMax,10000000,0.05,39519633240
caida18,QMax,10000000,0.05,39506310840
caida18,QMax,10000000,0.05,39513264840
caida18,QMax,10000000,0.05,39520899600
caida18,QMax,10000000,0.05,39550340640
caida18,QMax,10000000,0.05,39590586000
caida18,QMax,10000000,0.05,39613461000
caida18,QMax,10000000,0.05,39607282920
caida18,QMax,1000000,0.05,39533577840
caida18,QMax,1000000,0.05,39515358360
caida18,QMax,1000000,0.05,39546797760
caida18,QMax,1000000,0.05,39462215160
caida18,QMax,1000000,0.05,39477001560
caida18,QMax,1000000,0.05,39395061480
caida18,QMax,1000000,0.05,39409789320
caida18,QMax,1000000,0.05,39488164560
caida18,QMax,1000000,0.05,39499876560
caida18,QMax,1000000,0.05,39527260680
caida18,QMax,10000000,0.1,39529808040
caida18,QMax,10000000,0.1,39565346640
caida18,QMax,10000000,0.1,39602093040
caida18,QMax,10000000,0.1,39608768880
caida18,QMax,10000000,0.1,39606228840
caida18,QMax,10000000,0.1,39554483760
caida18,QMax,10000000,0.1,39530422920
caida18,QMax,10000000,0.1,39505842360
caida18,QMax,10000000,0.1,39229314720
caida18,QMax,10000000,0.1,39521075280
caida18,QMax,1000000,0.1,39461124480
caida18,QMax,1000000,0.1,39442795200
caida18,QMax,1000000,0.1,39450173760
caida18,QMax,1000000,0.1,39481788840
caida18,QMax,1000000,0.1,39557060400
caida18,QMax,1000000,0.1,39525965040
caida18,QMax,1000000,0.1,39538826280
caida18,QMax,1000000,0.1,39471723840
caida18,QMax,1000000,0.1,39463884120
caida18,QMax,1000000,0.1,38843148120
caida18,QMax,10000000,0.25,39541886040
caida18,QMax,10000000,0.25,38646123000
caida18,QMax,10000000,0.25,39508111560
caida18,QMax,10000000,0.25,39509531640
caida18,QMax,10000000,0.25,39517620240
caida18,QMax,10000000,0.25,39077732160
caida18,QMax,10000000,0.25,39586845480
caida18,QMax,10000000,0.25,34966922640
caida18,QMax,10000000,0.25,35258522160
caida18,QMax,10000000,0.25,39570887880
caida18,QMax,1000000,0.25,39378972120
caida18,QMax,1000000,0.25,39498793200
caida18,QMax,1000000,0.25,39500454840
caida18,QMax,1000000,0.25,39424282920
caida18,QMax,1000000,0.25,39349677480
caida18,QMax,1000000,0.25,39368504520
caida18,QMax,1000000,0.25,39399182640
caida18,QMax,1000000,0.25,39474271200
caida18,QMax,1000000,0.25,39457237560
caida18,QMax,1000000,0.25,39543415920
caida18,QMax,10000000,0.5,39557250720
caida18,QMax,10000000,0.5,39601031640
caida18,QMax,10000000,0.5,39617018520
caida18,QMax,10000000,0.5,36913588800
caida18,QMax,10000000,0.5,39562748040
caida18,QMax,10000000,0.5,39534778320
caida18,QMax,10000000,0.5,39502453200
caida18,QMax,10000000,0.5,39296585520
caida18,QMax,10000000,0.5,39513198960
caida18,QMax,10000000,0.5,39541886040
caida18,QMax,1000000,0.5,39242080800
caida18,QMax,1000000,0.5,39452172120
caida18,QMax,1000000,0.5,39183894120
caida18,QMax,1000000,0.5,39513367320
caida18,QMax,1000000,0.5,39531037800
caida18,QMax,1000000,0.5,39501538200
caida18,QMax,1000000,0.5,39452062320
caida18,QMax,1000000,0.5,39443417400
caida18,QMax,1000000,0.5,39275701560
caida18,QMax,1000000,0.5,39157710480
caida18,Skiplist,10000000,,2114565000
caida18,Skiplist,10000000,,2094054360
caida18,Skiplist,10000000,,2080014600
caida18,Skiplist,10000000,,2068807680
caida18,Skiplist,10000000,,2099397960
caida18,Skiplist,10000000,,2044307640
caida18,Skiplist,10000000,,2095986840
caida18,Skiplist,10000000,,2094171480
caida18,Skiplist,10000000,,2078462760
caida18,Skiplist,10000000,,2049043680
caida18,Skiplist,1000000,,33217223040
caida18,Skiplist,1000000,,33462787080
caida18,Skiplist,1000000,,33272496360
caida18,Skiplist,1000000,,33066775080
caida18,Skiplist,1000000,,33477134280
caida18,Skiplist,1000000,,33369171600
caida18,Skiplist,1000000,,32996298120
caida18,Skiplist,1000000,,33925916160
caida18,Skiplist,1000000,,33150728160
caida18,Skiplist,1000000,,32676970440
