dataset,type,size,gamma,throughput
caida16,OVS,1000000,,7471001712
caida16,OVS,10000000,,7471001712
caida16,Heap,1000000,,7213882104
caida16,Skiplist,1000000,,6933872152
caida16,QMax,1000000,0.05,7096024472
caida16,QMax,1000000,0.1,7219285200
caida16,QMax,1000000,0.25,7326128600
caida16,QMax,1000000,0.5,7347003928
caida16,Heap,10000000,,4033675672
caida16,Skiplist,10000000,,2072143784
caida16,QMax,10000000,0.05,6077442800
caida16,QMax,10000000,0.1,6363260040
caida16,QMax,10000000,0.25,6788154992
caida16,QMax,10000000,0.5,6960976792
