dataset,type,size,gamma,throughput
univ1,Heap,10000000,,4768290072
univ1,Heap,10000000,,4682703792
univ1,Heap,10000000,,4762235312
univ1,Heap,10000000,,4687336080
univ1,Heap,10000000,,4705907536
univ1,Heap,10000000,,4733643096
univ1,Heap,10000000,,4747339016
univ1,Heap,10000000,,4705431616
univ1,Heap,10000000,,4739734872
univ1,Heap,10000000,,4654206760
univ1,Heap,1000000,,9705954784
univ1,Heap,1000000,,9724621424
univ1,Heap,1000000,,9727265424
univ1,Heap,1000000,,9746524320
univ1,Heap,1000000,,9734377784
univ1,Heap,1000000,,9711586504
univ1,Heap,1000000,,9701502288
univ1,Heap,1000000,,9697610320
univ1,Heap,1000000,,9704463568
univ1,Heap,1000000,,9698403520
univ1,OVS,10000000,,9699339496
univ1,OVS,10000000,,9688139512
univ1,OVS,10000000,,9692354048
univ1,OVS,10000000,,9694226000
univ1,OVS,10000000,,9682994288
univ1,OVS,10000000,,9671582784
univ1,OVS,10000000,,9689958584
univ1,OVS,10000000,,9700888880
univ1,OVS,10000000,,9695283600
univ1,OVS,10000000,,9698250168
univ1,OVS,1000000,,9699339496
univ1,OVS,1000000,,9688139512
univ1,OVS,1000000,,9692354048
univ1,OVS,1000000,,9694226000
univ1,OVS,1000000,,9682994288
univ1,OVS,1000000,,9671582784
univ1,OVS,1000000,,9689958584
univ1,OVS,1000000,,9700888880
univ1,OVS,1000000,,9695283600
univ1,OVS,1000000,,9698250168
univ1,QMax,10000000,0.05,7856397464
univ1,QMax,10000000,0.05,7637294472
univ1,QMax,10000000,0.05,7633502976
univ1,QMax,10000000,0.05,7698867944
univ1,QMax,10000000,0.05,7621716024
univ1,QMax,10000000,0.05,7632445376
univ1,QMax,10000000,0.05,7619220088
univ1,QMax,10000000,0.05,7662634568
univ1,QMax,10000000,0.05,7670508400
univ1,QMax,10000000,0.05,7750759088
univ1,QMax,1000000,0.05,9497988320
univ1,QMax,1000000,0.05,9462759664
univ1,QMax,1000000,0.05,9494286720
univ1,QMax,1000000,0.05,9489384744
univ1,QMax,1000000,0.05,9494619864
univ1,QMax,1000000,0.05,9500489544
univ1,QMax,1000000,0.05,9519558072
univ1,QMax,1000000,0.05,9529414904
univ1,QMax,1000000,0.05,9504455544
univ1,QMax,1000000,0.05,9483171344
